Position,EIN,Organization Name_CLEAN,Space Name,Street,Street 2,City,State,Zip,Contact Name,Contact Title,Contact Email,Parent Organization Website,County,Address,isMultiple,old_lat,old_lon,Check,LAT,LON
14,943202941,42nd St Moon,Space 1,250 Van Ness Ave,,San Francisco,CA,94102,Jasmine Malone,Box Office Assistant,jmalone@42ndstmoon.org,http://www.42ndstmoon.org,San Francisco,"250 Van Ness Ave, San Francisco, CA, 94102",Single Space,37.7781308,-122.4194511,not,37.7781308,-122.4194511
15,942990342,45th St Artists Cooperative,Space 1,1420 45Th St,,Emeryville,CA,94608,,,,,Alameda,"1420 45Th St, Emeryville, CA, 94608",Single Space,37.8326276,-122.2884904,not,37.8326276,-122.2884904
16,,4Ever Dance Studio,Space 1,6635 Dublin Blvd,Suite D,Dublin,CA,94568,Noemi Warren,,4everdancestudio@gmail.com,http://www.4everdancestudio.com,Alameda,"6635 Dublin Blvd, Dublin, CA, 94568",Single Space,37.7045791,-121.9128525,not,37.7045791,-121.9128525
17,943095774,509 Cultural Center,Space 1,1007 Market St,,San Francisco,CA,94103,,,,https://www.luggagestoregallerysf.org/,San Francisco,"1007 Market St , San Francisco, CA, 94103",Single Space,37.7818353,-122.410302,not,37.7818353,-122.410302
18,821851705,51St Street Theater Company Inc,Space 1,106 Linda Ln,,Pleasant Hill,CA,94523,,,,,Contra Costa,"106 Linda Ln, Pleasant Hill, CA, 94523",Single Space,37.952101,-122.0857052,not,37.952101,-122.0857052
19,200608904,640 Heritage Preservation Foundation,Space 1,640 Sutter St,,San Francisco,CA,94102,,,,,San Francisco,"640 Sutter St, San Francisco, CA, 94102",Single Space,37.78895789,-122.4110587,not,37.78895789,-122.4110587
20,862985871,6th Sence Records,Space 1,29008 Tern Pl,,Hayward,CA,94545,,,,,Alameda,"29008 Tern Pl, Hayward, CA, 94545",Single Space,37.6099488,-122.0927602,not,37.6099488,-122.0927602
21,43694151,826 Valencia,"Space 1, 2",Community Space ) 1310 4th St Community Space) 826 Valencia St.,,San Francisco,CA,94110,,,,www.826valencia.org,San Francisco,"Community Space ) 1310 4th St <br> Community Space) 826 Valencia St. <br> San Francisco, CA, 94110",Multiple Spaces,37.77109,-122.3913,not,37.77109,-122.3913
22,274410088,99th Infantry Battalion Separate Wwii Educational Foundation,Space 1,6039 Geary Blvd,,San Francisco,CA,94121,,,,,San Francisco,"6039 Geary Blvd, San Francisco, CA, 94121",Single Space,37.7797993,-122.484351,not,37.7797993,-122.484351
23,,A PLACE OF HER OWN,Space 1,1890 Bryant St,302,San Francisco,CA,94102,,,,http://www.aplaceofherown.org,San Francisco,"1890 Bryant St, San Francisco, CA, 94102",Single Space,37.7632929,-122.4107448,not,37.7632929,-122.4107448
24,465265072,A Square Heroes Foundation,Space 1,1430 Bel Air Dr,Apt 303,Concord,CA,94521,,,,,Contra Costa,"1430 Bel Air Dr, Concord, CA, 94521",Single Space,37.9608651,-121.992888,not,37.9608651,-121.992888
25,,a.Muse art gallery & meeting place,Space 1,614 Alabama St,,San Francisco,CA,94110,Lori Shantzis,Director,lorishantzis@mac.com,http://www.yourmusegallery.com,San Francisco,"614 Alabama St, San Francisco, CA, 94110",Single Space,37.76145222,-122.4120768,not,37.76145222,-122.4120768
26,943249282,ABAD A-CAPOEIRA SAN FRANCISCO,Space 1,3221 22nd St,,San Francisco,CA,94110,Lenaya Kimball,Programs Assistant,info@abada.org,http://www.abada.org,San Francisco,"3221 22nd St, San Francisco, CA, 94110",Single Space,37.75536234,-122.4192095,not,37.75536234,-122.4192095
27,264468329,Abia Union Usa,Space 1,1179 West A,St 111,Hayward,CA,94541,,,,,Alameda,"1179 West A, Hayward, CA, 94541",Single Space,37.6655608,-122.1188547,not,37.6655608,-122.1188547
28,,ABO Comix,Space 1,715 Oakland Ave,#305,Oakland,CA,94611,,,,http://www.abocomix.com,Alameda,"715 Oakland Ave, Oakland, CA, 94611",Single Space,37.82133953,-122.2491987,not,37.82133953,-122.2491987
29,,Academy of Ballet,Space 1,2121 Market St,,San Francisco,CA,94114,Zory Karah,,balletsf@aol.com,http://sfacademyofballet.com,San Francisco,"2121 Market St, San Francisco, CA, 94114",Single Space,37.7669711,-122.4293084,not,37.7669711,-122.4293084
30,912156700,Academy Of Chinese Performing Arts Foundation,Space 1,41862 Paseo Padre Pkwy,,Fremont,CA,94539,,,,,Alameda,"41862 Paseo Padre Pkwy, Fremont, CA, 94539",Single Space,37.5392101,-121.9398819,not,37.5392101,-121.9398819
31,20669264,Academy Of Hawaiian Arts,Space 1,10700 Macarthur Blvd,Suite 33,Oakland,CA,94605,,,,,Alameda,"10700 Macarthur Blvd, Oakland, CA, 94605",Single Space,37.74237954,-122.1517045,not,37.74237954,-122.1517045
32,943381006,Accendi Performances,Space 1,5900 Sutter Ave,,Richmond,CA,94804,,,,,Contra Costa,"5900 Sutter Ave, Richmond, CA, 94804",Single Space,37.9084918,-122.3101399,not,37.9084918,-122.3101399
33,943039956,Accion Latina,Space 1,"2958 24th St. 
",,San Francisco,CA,94110,,,,,San Francisco,"2958 24th St. 
, San Francisco, CA, 94110",Single Space,37.7528977,-122.4112703,not,37.7528977,-122.4112703
34,,Ace Dance Academy,Space 1,1825 Mt. Diablo Blvd,,Walnut Creek,CA,94596,Jenny Hudson,,info@acedanceacademy.com,http://acedanceacademy.com,Contra Costa,"1825 Mt. Diablo Blvd, Walnut Creek, CA, 94596",Single Space,37.89727791,-122.0649176,not,37.89727791,-122.0649176
35,843626487,Acentos Review,Space 1,2111 San Pablo Ave,Unit 2812,Berkeley,CA,94702,,,,,Alameda,"2111 San Pablo Ave, Berkeley, CA, 94702",Single Space,37.867909,-122.2912856,not,37.867909,-122.2912856
36,463452490,Act Market St,Space 1,415 Geary St,,San Francisco,CA,94102,,,,,San Francisco,"415 Geary St, San Francisco, CA, 94102",Single Space,37.786807,-122.4102087,not,37.786807,-122.4102087
37,300209377,Action Against The Antiquities Trade,Space 1,2111 Hyde St,403,San Francisco,CA,94109,,,,,San Francisco,"2111 Hyde St, San Francisco, CA, 94109",Single Space,37.8003664,-122.4196442,not,37.8003664,-122.4196442
38,942231922,Actors Theatre Of San Francisco,Space 1,855 Bush St,,San Francisco,CA,94108,,,,,San Francisco,"855 Bush St, San Francisco, CA, 94108",Single Space,37.7895514,-122.4113249,not,37.7895514,-122.4113249
39,272348716,Adams Music Boosters,Space 1,401 American Ave,,Brentwood,CA,94513,,,,,Contra Costa,"401 American Ave, Brentwood, CA, 94513",Single Space,37.9200541,-121.7586645,not,37.9200541,-121.7586645
40,883806729,Adisa Baba Sports And Arts Academy,Space 1,782 19th St,,Oakland,CA,94612,,,,,Alameda,"782 19th St, Oakland, CA, 94612",Single Space,37.8109207,-122.2768994,not,37.8109207,-122.2768994
41,874123823,Adobe Community Books And Arts Project,Space 1,3130 24th St,,San Francisco,CA,94110,,,,,San Francisco,"3130 24th St, San Francisco, CA, 94110",Single Space,37.7526657,-122.4147777,not,37.7526657,-122.4147777
42,852878804,Adunakids,Space 1,1535 Eddy St,Apt 315,San Francisco,CA,94115,,,,,San Francisco,"1535 Eddy St, San Francisco, CA, 94115",Single Space,37.78130999,-122.4328962,not,37.78130999,-122.4328962
43,261259192,Advocates For Chinese Education,Space 1,375 Chester Ave,,San Francisco,CA,94132,,,,,San Francisco,"375 Chester Ave, San Francisco, CA, 94132",Single Space,37.70909537,-122.4700828,not,37.70909537,-122.4700828
44,,Aerodance Academy,Space 1,5258 Newpark Plaza,,Newark,CA,94560,Ranjani Manda,,ranjani_manda@yahoo.com,http://www.aerodanceonline.com,Alameda,"5258 Newpark Plaza, Newark, CA, 94560",Single Space,37.5225117,-122.0006604,not,37.5225117,-122.0006604
45,850861845,Afghan Theatre TV Incorporated,Space 1,1232 Brooktrail Dr,,Pittsburg,CA,94565,,,,,Contra Costa,"1232 Brooktrail Dr, Pittsburg, CA, 94565",Single Space,38.0077404,-121.9439456,not,38.0077404,-121.9439456
46,873701533,Afghans Building Alliances For Humanitarian Development,Space 1,2121 N California Blvd,Ste 290,Walnut Creek,CA,94596,,,,,Contra Costa,"2121 N California Blvd, Walnut Creek, CA, 94596",Single Space,37.908508,-122.0662377,not,37.908508,-122.0662377
47,942919302,African Advocacy Network,Space 1,938 Valencia St,,San Francisco,CA,94110,,,,,San Francisco,"938 Valencia St, San Francisco, CA, 94110",Single Space,37.7579141,-122.4214978,not,37.7579141,-122.4214978
48,200118582,African American Art & Culture Complex,"6 Spaces, 1 Building",762 Fulton St,,San Francisco,CA,94102,Tamika Chenier,,tamika@aaacc.org,http://aaacc.org/facility/,San Francisco,"6 Spaces, 1 Building <br> 762 Fulton St, San Francisco, CA, 94102",Multiple Spaces,37.7782819,-122.429259,not,37.7782819,-122.429259
49,863055973,African American Birthright Organization,Space 1,1560 165Th Ave,Unit 215,San Leandro,CA,94578,,,,,Alameda,"1560 165Th Ave, San Leandro, CA, 94578",Single Space,37.6955804,-122.1086983,not,37.6955804,-122.1086983
50,813494218,African Arts Academy,Space 1,1777 Yosemite Ave,,San Francisco,CA,94102,,,,http://www.africanartsacademy.com,San Francisco,"1777 Yosemite Ave, San Francisco, CA, 94102",Single Space,37.7782819,-122.429259,not,37.7782819,-122.429259
51,10607155,African Queens,Space 1,360 Grand Ave,Ste 298,Oakland,CA,94610,,,,,Alameda,"360 Grand Ave, Oakland, CA, 94610",Single Space,37.8090053,-122.2555433,not,37.8090053,-122.2555433
52,943192980,African-American Shakespeare,Space 1,762 Fulton St,Ste 306,San Francisco,CA,94102,,,,,San Francisco,"762 Fulton St, San Francisco, CA, 94102",Single Space,37.7782819,-122.429259,not,37.7782819,-122.429259
53,274710598,AfroSolo Theatre Company,Space 1,762 Fulton St,,San Francisco,CA,94102,,,,www.afrosolo.org,San Francisco,"762 Fulton St, San Francisco, CA, 94102",Single Space,37.7782819,-122.429259,ok,37.77821323,-122.4292774
54,260683783,Afterimage Public Media,Space 1,39 Mesa St,Ste 206,San Francisco,CA,94129,,,,,San Francisco,"39 Mesa St, San Francisco, CA, 94129",Single Space,37.7986208,-122.4573819,not,37.7986208,-122.4573819
55,203727841,Afvbm Foundation,Space 1,512 Van Ness Ave,Apt 203,San Francisco,CA,94102,,,,,San Francisco,"512 Van Ness Ave, San Francisco, CA, 94102",Single Space,37.7804053,-122.4199049,not,37.7804053,-122.4199049
56,472646601,Aggregate Space Gallery,Space 1,801 W. Grant Ave.,,Oakland,CA,94607,,,,aggregatespacegallery.org,Alameda,"801 W. Grant Ave. , Oakland, CA, 94607",Single Space,37.8132546,-122.2762042,not,37.8132546,-122.2762042
57,821240444,Agomoni,Space 1,11040 Bollinger Canyon Rd,E-954,San Ramon,CA,94582,,,,,Contra Costa,"11040 Bollinger Canyon Rd, San Ramon, CA, 94582",Single Space,37.775365,-121.9229907,not,37.775365,-121.9229907
58,943207987,Aguilas,Space 1,2261 Market St,496,San Francisco,CA,94114,,,,,San Francisco,"2261 Market St, San Francisco, CA, 94114",Single Space,37.7646847,-122.4319399,not,37.7646847,-122.4319399
59,815310759,Aikido Of Livermore Shinrei Dojo,Space 1,3985 First St,Suite C,Livermore,CA,94551,,,,,Alameda,"3985 First St, Livermore, CA, 94551",Single Space,37.6907937,-121.7511052,not,37.6907937,-121.7511052
60,873127511,Aini1 Foundation,Space 1,759 26Th Ave,,San Francisco,CA,94121,,,,,San Francisco,"759 26Th Ave, San Francisco, CA, 94121",Single Space,37.77513524,-122.4857793,not,37.77513524,-122.4857793
61,943226801,Aircraft Carrier Hornet Foundation,Space 1,707 W Hornet Ave,Pier 3,Alameda,CA,94501,,,,,Alameda,"707 W Hornet Ave, Alameda, CA, 94501",Single Space,37.7726575,-122.3016819,not,37.7726575,-122.3016819
62,10908118,Airspace,Space 1,975 Howard St,,San Francisco,CA,94107,,,,,San Francisco,"975 Howard St, San Francisco, CA, 94107",Single Space,37.7800722,-122.4063346,not,37.7800722,-122.4063346
63,383749279,Ako Ka Orunmila Ifa Ati Orisa,Space 1,4085 Kuhnle Ave,,Oakland,CA,94605,,,,,Alameda,"4085 Kuhnle Ave, Oakland, CA, 94605",Single Space,37.7820797,-122.1734607,not,37.7820797,-122.1734607
64,873060768,Ala Doble Flying Collection,Space 1,229 Rickenbacker Cir,,Livermore,CA,94551,,,,,Alameda,"229 Rickenbacker Cir, Livermore, CA, 94551",Single Space,37.6923444,-121.8030456,not,37.6923444,-121.8030456
65,862854700,Alamako Foundation,Space 1,1411 Franklin St,,Oakland,CA,94612,,,,,Alameda,"1411 Franklin St, Oakland, CA, 94612",Single Space,37.8041637,-122.2700677,not,37.8041637,-122.2700677
66,201735397,Alameda Civic Ballet,Space 1,1402 Park St,,Alameda,CA,94501,,,,,Alameda,"1402 Park St, Alameda, CA, 94501",Single Space,37.7643318,-122.2425,not,37.7643318,-122.2425
67,472011591,Alameda Community Band,Space 1,2 Curlew Ct,,Alameda,CA,94501,,,,,Alameda,"2 Curlew Ct, Alameda, CA, 94501",Single Space,37.7785878,-122.2804826,not,37.7785878,-122.2804826
68,471988318,Alameda Community Chorus,Space 1,34 Kilkenny Pl,,Alameda,CA,94502,,,,,Alameda,"34 Kilkenny Pl, Alameda, CA, 94502",Single Space,37.7404759,-122.2538601,not,37.7404759,-122.2538601
69,946000501,Alameda County Arts Commission,"Space 1, 2",Community Space) 1106 Madison St. Community Space) 1221 Oak St,Suite 336,Oakland,CA,94607,,,,www.acgov.org/arts,Alameda,"Community Space) 1106 Madison St. <br> Community Space) 1221 Oak St <br> Oakland, CA, 94607",Multiple Spaces,37.7996024,-122.2649964,not,37.7996024,-122.2649964
70,943229651,Alameda Naval Air Museum,Space 1,2151 Ferry Pt,,Alameda,CA,94501,,,,,Alameda,"2151 Ferry Pt, Alameda, CA, 94501",Single Space,37.7811257,-122.2985961,not,37.7811257,-122.2985961
71,884093556,Alameda Neighborhoods News,Space 1,1519 Fernside Blvd,,Alameda,CA,94501,,,,,Alameda,"1519 Fernside Blvd, Alameda, CA, 94501",Single Space,37.7577615,-122.2269378,not,37.7577615,-122.2269378
72,874572048,Alameda Post,Space 1,1801 Clement Ave,Ste 201,Alameda,CA,94501,,,,,Alameda,"1801 Clement Ave, Alameda, CA, 94501",Single Space,37.7755917,-122.2509476,not,37.7755917,-122.2509476
73,205139665,Albany Historical Society Albany,Space 1,1249 Marin Ave,,Albany,CA,94706,,,,,Alameda,"1249 Marin Ave, Albany, CA, 94706",Single Space,37.8879411,-122.2929655,not,37.8879411,-122.2929655
74,,Alcyon Ensemble,Space 1,28 Lost Valley Dr,,Orinda,CA,94563,,,,,Contra Costa,"28 Lost Valley Dr, Orinda, CA, 94563",Single Space,37.8534521,-122.166692,not,37.8534521,-122.166692
75,820847922,Alena Museum,Space 1,1333 8th St,,Oakland,CA,94609,,,,alenamuseum.com,Alameda,"1333 8th St, Oakland, CA, 94609",Single Space,37.8057227,-122.2919135,not,37.8057227,-122.2919135
76,800397198,Alexis Entertainment Group,Space 1,2880 Thornhill Dr,,Oakland,CA,94611,,,,http://www.alexisentertainmentgroup.com,Alameda,"2880 Thornhill Dr, Oakland, CA, 94611",Single Space,37.8315789,-122.2152459,not,37.8315789,-122.2152459
77,383711150,Alhambra High School Arts Foundation,Space 1,150 E St,,Martinez,CA,94553,,,,,Contra Costa,"150 E St, Martinez, CA, 94553",Single Space,38.0021067,-122.1343406,not,38.0021067,-122.1343406
78,863850228,All Out Comedy Theater,Space 1,2525 Telegraph Ave,Suite B,Oakland,CA,94612,Colleen Breen,Owner,info@alloutcomedytheater.com,https://www.alloutcomedytheater.com/,Alameda,"2525 Telegraph Ave, Oakland, CA, 94612",Single Space,37.8148415,-122.2685987,not,37.8148415,-122.2685987
79,853164580,All Tribes Playhouse,Space 1,1760 Bush St,Apt 211,San Francisco,CA,94109,,,,,San Francisco,"1760 Bush St, San Francisco, CA, 94109",Single Space,37.7881409,-122.4263883,not,37.7881409,-122.4263883
80,753078738,All Wars Memorial Foundation,Space 1,2340 Santa Rita Rd,,Pleasanton,CA,94566,,,,,Alameda,"2340 Santa Rita Rd, Pleasanton, CA, 94566",Single Space,37.682948,-121.8756063,not,37.682948,-121.8756063
81,815141581,All-Californian Oratory Resource Network,Space 1,328 Crest Ave,,Alamo,CA,94507,,,,,Contra Costa,"328 Crest Ave, Alamo, CA, 94507",Single Space,37.8729359,-122.0504789,not,37.8729359,-122.0504789
82,20541202,Alliance for California Traditional Arts,Space 1,1007 General Kennedy Avenue,,San Francisco,CA,94129,,,,,San Francisco,"1007 General Kennedy Avenue, San Francisco, CA, 94129",Single Space,37.8009646,-122.451433,not,37.8009646,-122.451433
83,811227030,Alliance For The Visual Arts,Space 1,852 Old Oak Rd,,Livermore,CA,94550,,,,,Alameda,"852 Old Oak Rd, Livermore, CA, 94550",Single Space,37.6523086,-121.7935796,not,37.6523086,-121.7935796
84,941189308,Alliance Francaise,Space 1,1345 Bush St,,San Francisco,CA,94109,,,,,San Francisco,"1345 Bush St, San Francisco, CA, 94109",Single Space,37.7885474,-122.4193671,not,37.7885474,-122.4193671
85,941654017,Alliance Francaise De Berkeley,Space 1,2004 Woolsey St,,Berkeley,CA,94703,,,,,Alameda,"2004 Woolsey St, Berkeley, CA, 94703",Single Space,37.851956,-122.2676415,not,37.851956,-122.2676415
86,845054602,Alllove The Light Media Group,Space 1,2127 Bridgeport Loop,,Discovery Bay,CA,94505,,,,,Contra Costa,"2127 Bridgeport Loop, Discovery Bay, CA, 94505",Single Space,37.9148381,-121.6196035,not,37.9148381,-121.6196035
87,922892946,Alma Rise Gallery,Space 1,935 Hilldale Ave,,Berkeley,CA,94708,,,,,Alameda,"935 Hilldale Ave, Berkeley, CA, 94708",Single Space,37.8945923,-122.2622785,not,37.8945923,-122.2622785
88,942933309,Alonzo King LINES Ballet,"6 Spaces, 1 Building",26 7th St,5th Floor,San Francisco,CA,94103,Dance Center Coordinator,,info@linesballet.org,http://www.linesballet.org/,San Francisco,"6 Spaces, 1 Building <br> 26 7th St, San Francisco, CA, 94103",Multiple Spaces,37.77977021,-122.4117095,not,37.77977021,-122.4117095
89,946066506,Alpicella Family Club,Space 1,1108 Court St,,Alameda,CA,94501,,,,,Alameda,"1108 Court St, Alameda, CA, 94501",Single Space,37.7553416,-122.2377024,not,37.7553416,-122.2377024
90,205963476,Alternative Minds Foundation,Space 1,2168 40th Ave,,Oakland,CA,94601,,,,,Alameda,"2168 40th Ave, Oakland, CA, 94601",Single Space,37.7804724,-122.2109855,not,37.7804724,-122.2109855
91,943103305,Alternative Music Foundation,Space 1,924 Gilman St,,Berkeley,CA,94710,,,,,Alameda,"924 Gilman St, Berkeley, CA, 94710",Single Space,37.8795041,-122.2992969,not,37.8795041,-122.2992969
92,923323319,Alvarado Project Sf,Space 1,444 Oxford St,,San Francisco,CA,94134,,,,,San Francisco,"444 Oxford St, San Francisco, CA, 94134",Single Space,37.72432424,-122.4189492,not,37.72432424,-122.4189492
93,824763695,American Alliance Of International Arts Cultures And Education,Space 1,128 Walford Dr,,Moraga,CA,94556,,,,,Contra Costa,"128 Walford Dr, Moraga, CA, 94556",Single Space,37.8187784,-122.1203783,not,37.8187784,-122.1203783
94,862280513,American Artist Foundation,Space 1,9085 Alcosta Blvd,,San Ramon,CA,94583,,,,,Contra Costa,"9085 Alcosta Blvd, San Ramon, CA, 94583",Single Space,37.7285321,-121.934627,not,37.7285321,-121.934627
95,521284724,American Asian Cultural Exchange,Space 1,1328 Mission St,Ste 7,San Francisco,CA,94103,,,,,San Francisco,"1328 Mission St, San Francisco, CA, 94103",Single Space,37.7761338,-122.415328,not,37.7761338,-122.415328
96,680211969,American Bach Soloists,Space 1,44 Page St,,San Francisco,CA,94102,,,,www.americanbach.org,San Francisco,"44 Page St, San Francisco, CA, 94102",Single Space,37.7744506,-122.4215957,not,37.7744506,-122.4215957
97,832482099,American Black Beauty Doll Association,Space 1,851 81St Ave,Suite 2E,Oakland,CA,94621,,,,,Alameda,"851 81St Ave, Oakland, CA, 94621",Single Space,37.7514143,-122.190522,not,37.7514143,-122.190522
98,264791743,American Center of Philippine Arts,Space 1,8151 Village Pkwy,,Dublin,CA,94568,,,,,Alameda,"8151 Village Pkwy, Dublin, CA, 94568",Single Space,37.72056524,-121.9240297,not,37.72056524,-121.9240297
99,300442419,American Chinese Cultural And Art Association,Space 1,2420 Greenwich St,,San Francisco,CA,94123,,,,,San Francisco,"2420 Greenwich St, San Francisco, CA, 94123",Single Space,37.7987039,-122.4396618,not,37.7987039,-122.4396618
100,833432468,American Chinese Elites Cultural Exchange Association,Space 1,6958 Village Pkwy,,Dublin,CA,94568,,,,,Alameda,"6958 Village Pkwy, Dublin, CA, 94568",Single Space,37.70780321,-121.9252817,not,37.70780321,-121.9252817
101,461739203,American Chinese International Cultural Exchange Council,Space 1,2501 Taraval St,,San Francisco,CA,94116,,,,,San Francisco,"2501 Taraval St, San Francisco, CA, 94116",Single Space,37.7420412,-122.4929964,not,37.7420412,-122.4929964
102,473212196,American Chinese Women Cultural Association,Space 1,1315 23Rd Ave,Ste 210,San Francisco,CA,94122,,,,,San Francisco,"1315 23Rd Ave, San Francisco, CA, 94122",Single Space,37.7631192,-122.4816132,not,37.7631192,-122.4816132
103,946135772,American Conservatory Theatre Foundation,"7 Spaces, 1 Building",30 Grant Ave,8th Floor,San Francisco,CA,94108,Eric Brizee,Facilities & Operations Manager,rentals@act-sf.org,http://www.act-sf.org,San Francisco,"7 Spaces, 1 Building <br> 30 Grant Ave, San Francisco, CA, 94108",Multiple Spaces,37.7875112,-122.4047027,not,37.7875112,-122.4047027
104,263421061,American Cultural Association,Space 1,3443 Golden Gate Way,F,Lafayette,CA,94549,,,,,Contra Costa,"3443 Golden Gate Way, Lafayette, CA, 94549",Single Space,37.8919625,-122.1128106,not,37.8919625,-122.1128106
105,943134723,American Image Theatre Company,Space 1,290 Moscow St,,San Francisco,CA,94112,,,,,San Francisco,"290 Moscow St, San Francisco, CA, 94112",Single Space,37.7230781,-122.4265443,not,37.7230781,-122.4265443
106,953646346,American Indian Film Institute,Space 1,2940 Sixteenth St,304,San Francisco,CA,94103,,,,,San Francisco,"2940 Sixteenth St, San Francisco, CA, 94103",Single Space,37.765203,-122.418212,not,37.765203,-122.418212
107,814100247,American Innings,Space 1,185 Front St,Ste 203,Danville,CA,94526,,,,,Contra Costa,"185 Front St, Danville, CA, 94526",Single Space,37.8215809,-121.9983024,not,37.8215809,-121.9983024
108,710912654,American Polish Citizen Club,Space 1,2325 Ocean Ave,,San Francisco,CA,94127,,,,,San Francisco,"2325 Ocean Ave, San Francisco, CA, 94127",Single Space,37.7294186,-122.4688088,not,37.7294186,-122.4688088
109,461275406,American Sewing Guild: Hayward,Space 1,29292 Harpoon Way,,Hayward,CA,94544,,,,,Alameda,"29292 Harpoon Way, Hayward, CA, 94544",Single Space,37.6234368,-122.0601627,not,37.6234368,-122.0601627
110,680423522,American Sewing Guild: Pleasant Hill,Space 1,1606 Onley Dr,,Pleasant Hill,CA,94523,,,,,Contra Costa,"1606 Onley Dr, Pleasant Hill, CA, 94523",Single Space,37.9598985,-122.0703666,not,37.9598985,-122.0703666
111,831921159,American Tamil Media,Space 1,5509 Waterperry Pl,,Dublin,CA,94568,,,,,Alameda,"5509 Waterperry Pl, Dublin, CA, 94568",Single Space,37.7166117,-121.87336,not,37.7166117,-121.87336
112,452267273,Ancient Cultures Institute,Space 1,202 Edgewood Ave,,San Francisco,CA,94117,,,,,San Francisco,"202 Edgewood Ave, San Francisco, CA, 94117",Single Space,37.76215154,-122.4549145,not,37.76215154,-122.4549145
113,460528718,Ancient Middle East Education And Research Institute,Space 1,607 51St St,,Oakland,CA,94609,,,,,Alameda,"607 51St St, Oakland, CA, 94609",Single Space,37.83677823,-122.2641677,not,37.83677823,-122.2641677
114,273489930,Anthony Fossett Foundation,Space 1,8 Birdsong Ln,,El Sobrante,CA,94803,,,,,Contra Costa,"8 Birdsong Ln, El Sobrante, CA, 94803",Single Space,37.9643736,-122.2858942,not,37.9643736,-122.2858942
115,942920761,Anthony Manning Kunin Foundation,Space 1,2 Marina Blvd,Bldg C Ste 3,San Francisco,CA,94123,,,,,San Francisco,"2 Marina Blvd, San Francisco, CA, 94123",Single Space,37.80524538,-122.432104,not,37.80524538,-122.432104
116,770479860,Anthropomorphic Arts And Education,Space 1,105 Serra Way,Pmb 236,Milpitas,CA,95035,,,,,Santa Clara,"105 Serra Way, Milpitas, CA, 95035",Single Space,37.4279779,-121.9090433,not,37.4279779,-121.9090433
